iter	Passed	Remaining
0	65	65539
1	70	35141
2	78	26190
3	83	20769
4	88	17562
5	92	15376
6	97	13825
7	101	12634
8	107	11794
9	111	11055
10	116	10451
11	120	9955
12	125	9531
13	130	9176
14	134	8858
15	139	8578
16	143	8325
17	148	8098
18	153	7907
19	157	7733
20	162	7573
21	167	7455
22	172	7311
23	176	7184
24	181	7083
25	186	6975
26	190	6881
27	195	6787
28	200	6706
29	204	6619
30	209	6540
31	214	6474
32	220	6458
33	225	6394
34	229	6334
35	234	6277
36	238	6218
37	243	6166
38	248	6118
39	252	6070
40	257	6020
41	262	5976
42	266	5935
43	272	5926
44	277	5884
45	282	5850
46	287	5838
47	293	5813
48	298	5799
49	304	5780
50	309	5757
51	314	5734
52	319	5713
53	325	5697
54	330	5678
55	333	5624
56	339	5609
57	344	5589
58	349	5569
59	354	5552
60	360	5542
61	364	5518
62	369	5495
63	374	5471
64	378	5449
65	383	5425
66	387	5400
67	392	5376
68	396	5356
69	401	5335
70	406	5319
71	411	5302
72	416	5286
73	421	5270
74	426	5255
75	430	5237
76	435	5221
77	440	5206
78	445	5190
79	449	5173
80	454	5160
81	459	5145
82	464	5132
83	469	5118
84	474	5107
85	479	5092
86	483	5078
87	488	5066
88	493	5053
89	498	5040
90	503	5025
91	508	5017
92	513	5004
93	517	4992
94	523	4982
95	528	4972
96	532	4960
97	537	4947
98	542	4936
99	547	4925
100	552	4914
101	557	4904
102	561	4892
103	566	4884
104	571	4874
105	576	4864
106	581	4854
107	586	4842
108	591	4832
109	596	4822
110	601	4814
111	605	4803
112	610	4793
113	615	4785
114	620	4776
115	625	4766
116	630	4756
117	635	4747
118	639	4737
119	644	4728
120	649	4721
121	654	4713
122	659	4703
123	664	4697
124	669	4689
125	674	4679
126	679	4671
127	684	4662
128	689	4653
129	694	4645
130	699	4637
131	705	4636
132	710	4628
133	714	4618
134	719	4611
135	724	4603
136	729	4594
137	734	4585
138	738	4577
139	743	4569
140	748	4560
141	756	4570
142	763	4574
143	769	4571
144	773	4563
145	778	4554
146	783	4547
147	788	4540
148	793	4531
149	798	4522
150	802	4513
151	807	4504
152	812	4495
153	816	4487
154	821	4479
155	826	4471
156	831	4462
157	835	4454
158	840	4447
159	845	4439
160	850	4432
161	855	4424
162	860	4417
163	865	4410
164	870	4403
165	874	4395
166	879	4388
167	884	4381
168	889	4374
169	894	4365
170	898	4358
171	903	4350
172	908	4342
173	913	4335
174	917	4327
175	922	4319
176	927	4313
177	932	4305
178	936	4297
179	941	4289
180	946	4281
181	950	4274
182	955	4266
183	960	4258
184	965	4252
185	970	4245
186	974	4237
187	979	4230
188	983	4222
189	988	4214
190	993	4207
191	997	4199
192	1002	4193
193	1007	4185
194	1012	4177
195	1016	4170
196	1021	4163
197	1025	4155
198	1030	4148
199	1035	4140
200	1039	4132
201	1044	4124
202	1048	4117
203	1053	4109
204	1057	4102
205	1062	4095
206	1067	4087
207	1071	4080
208	1076	4074
209	1081	4067
210	1085	4060
211	1090	4053
212	1095	4046
213	1099	4039
214	1104	4032
215	1108	4025
216	1113	4018
217	1118	4011
218	1123	4004
219	1127	3998
220	1132	3991
221	1137	3985
222	1142	3979
223	1146	3973
224	1153	3974
225	1158	3967
226	1162	3960
227	1167	3953
228	1172	3947
229	1177	3940
230	1181	3934
231	1187	3932
232	1193	3927
233	1197	3921
234	1202	3916
235	1207	3909
236	1212	3904
237	1217	3897
238	1222	3891
239	1227	3885
240	1231	3878
241	1236	3872
242	1240	3865
243	1247	3866
244	1253	3863
245	1258	3856
246	1262	3849
247	1267	3843
248	1272	3836
249	1276	3830
250	1281	3824
251	1286	3818
252	1291	3814
253	1296	3807
254	1301	3802
255	1306	3796
256	1311	3790
257	1315	3784
258	1320	3778
259	1325	3773
260	1330	3766
261	1335	3761
262	1340	3755
263	1344	3749
264	1349	3744
265	1354	3737
266	1359	3731
267	1364	3726
268	1368	3719
269	1373	3713
270	1378	3707
271	1383	3702
272	1387	3696
273	1392	3689
274	1397	3683
275	1401	3677
276	1406	3672
277	1411	3665
278	1416	3659
279	1420	3653
280	1425	3647
281	1430	3642
282	1435	3635
283	1439	3629
284	1444	3623
285	1449	3618
286	1454	3612
287	1458	3606
288	1463	3600
289	1468	3594
290	1473	3589
291	1478	3583
292	1482	3578
293	1487	3572
294	1492	3566
295	1497	3560
296	1501	3554
297	1506	3549
298	1511	3544
299	1516	3539
300	1521	3533
301	1526	3527
302	1530	3521
303	1535	3515
304	1540	3509
305	1545	3504
306	1550	3500
307	1555	3494
308	1559	3488
309	1566	3485
310	1571	3480
311	1575	3475
312	1580	3469
313	1585	3463
314	1590	3457
315	1594	3451
316	1599	3445
317	1603	3440
318	1608	3434
319	1614	3430
320	1618	3424
321	1623	3418
322	1628	3412
323	1633	3407
324	1637	3401
325	1642	3396
326	1647	3390
327	1652	3384
328	1656	3379
329	1661	3373
330	1666	3368
331	1671	3362
332	1677	3359
333	1682	3353
334	1686	3348
335	1691	3343
336	1696	3337
337	1701	3332
338	1706	3326
339	1710	3321
340	1715	3315
341	1720	3310
342	1725	3304
343	1734	3308
344	1740	3305
345	1746	3300
346	1751	3295
347	1755	3289
348	1761	3284
349	1765	3279
350	1770	3274
351	1775	3268
352	1780	3262
353	1785	3257
354	1789	3252
355	1794	3246
356	1799	3240
357	1804	3235
358	1808	3229
359	1813	3224
360	1818	3218
361	1823	3212
362	1827	3207
363	1832	3201
364	1837	3196
365	1841	3190
366	1846	3185
367	1851	3179
368	1856	3174
369	1861	3168
370	1865	3163
371	1871	3159
372	1876	3153
373	1880	3148
374	1885	3142
375	1890	3137
376	1895	3131
377	1899	3125
378	1904	3120
379	1909	3114
380	1913	3109
381	1918	3104
382	1923	3098
383	1928	3092
384	1932	3087
385	1937	3081
386	1942	3076
387	1946	3070
388	1951	3065
389	1956	3060
390	1961	3055
391	1966	3049
392	1970	3044
393	1975	3038
394	1980	3033
395	1985	3028
396	1990	3022
