feature,shap_value
worst concave points,0.06494461370277625
worst perimeter,0.05543288261594333
mean concave points,0.05146863592844457
worst area,0.04950378999046457
worst radius,0.04693570509570151
worst concavity,0.036609755438791
mean concavity,0.03490420583566658
mean radius,0.02860267449739443
mean perimeter,0.025877818338360833
area error,0.023470981908436456
worst compactness,0.021949703007161352
worst texture,0.021795962159632944
mean area,0.021365176195014653
worst smoothness,0.018781082399029713
mean texture,0.018622465913484366
worst symmetry,0.014585204927003916
radius error,0.013275952296858682
mean compactness,0.012109405534491831
perimeter error,0.009038191142376913
worst fractal dimension,0.007381580757674417
mean smoothness,0.005512646017438008
mean symmetry,0.004145667127124877
concavity error,0.003922371250796781
concave points error,0.0036576188361713458
symmetry error,0.0034037982004782373
fractal dimension error,0.0030419948905010623
compactness error,0.0024825869517007466
smoothness error,0.0021437749815914316
mean fractal dimension,0.0020615915104423227
texture error,0.0017823291750099217
