feature,shap_value
worst perimeter,0.005332548901644665
worst radius,0.005236766767530264
worst area,0.004870145949892091
worst concavity,0.004610620194175797
mean area,0.004161900312718257
worst texture,0.004023610510700398
worst symmetry,0.0037093241744205266
mean radius,0.0036962651749982874
worst concave points,0.0035122461069704617
worst smoothness,0.003366449627472319
mean perimeter,0.0032329207022607385
mean concavity,0.0031468708847365912
worst compactness,0.0029775099321111735
mean concave points,0.0025346394742831978
mean texture,0.002409123497718209
mean compactness,0.0020214156250365177
area error,0.001963221644569976
worst fractal dimension,0.0017604087016539851
mean smoothness,0.0014639501316846438
compactness error,0.0008530368462373606
mean fractal dimension,0.0007133996120073935
mean symmetry,0.0006853864645518115
radius error,0.000682859976715776
symmetry error,0.0005438301826118185
fractal dimension error,0.000479808304862251
concavity error,0.00046594039807809715
texture error,0.00030742252873983654
perimeter error,0.00030244341738563024
smoothness error,0.00028222263947896885
concave points error,0.0001610089057936554
