feature,shap_value
worst concave points,0.08538497068775966
mean concave points,0.07245122777462674
worst area,0.06745165642896678
worst radius,0.05769504255256263
worst perimeter,0.05379383531236435
worst concavity,0.04320537119017738
mean area,0.032535618944819
area error,0.03164166822827315
mean concavity,0.024098135296749586
mean perimeter,0.021930152367761267
worst texture,0.017665849013756597
worst smoothness,0.01564995255385902
mean radius,0.014297508362718581
mean texture,0.013519273732435035
radius error,0.009524382399361866
perimeter error,0.009283003334378016
mean compactness,0.009185726756207149
worst compactness,0.008587161570185674
worst symmetry,0.008094748214663957
worst fractal dimension,0.006820311422722015
fractal dimension error,0.00433470257986922
concavity error,0.004242838301384433
symmetry error,0.0029802994832736295
compactness error,0.0026344509606504637
mean smoothness,0.002608749965567104
concave points error,0.0021892939099405675
smoothness error,0.0021431942719724794
mean fractal dimension,0.001996358951883277
mean symmetry,0.0018725044423938617
texture error,0.0012109305757638117
