feature,shap_value
worst concave points,1.6332841
mean concave points,1.1047093
area error,1.0450106
worst area,0.9744417
worst texture,0.90688616
worst perimeter,0.7755497
worst concavity,0.678743
worst radius,0.63407654
mean texture,0.56332374
worst smoothness,0.44690168
compactness error,0.38478297
worst symmetry,0.3532549
mean smoothness,0.30417383
mean area,0.29676044
symmetry error,0.22800416
concave points error,0.16428886
mean concavity,0.15071946
mean symmetry,0.14593792
mean compactness,0.13950968
concavity error,0.09777999
radius error,0.051886335
fractal dimension error,0.051678147
worst compactness,0.05047304
mean radius,0.03619827
worst fractal dimension,0.032941878
mean fractal dimension,0.024883814
smoothness error,0.018426586
mean perimeter,0.0084548
perimeter error,0.0004226291
texture error,0.0
