mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension
-0.045986958,0.98591495,0.0027812314,-0.44569322,-0.19855241,0.08872338,-0.19670998,-1.2794379,0.19098257,0.01256028,-0.10595442,0.0,0.00039361574,-1.2652909,0.0041038617,0.30974886,0.06920652,-0.2343224,0.19454205,0.006475363,-0.697513,1.5817553,-0.89821875,-1.3537204,-0.43744642,-0.041229468,-0.48735574,-1.5603867,-0.38966894,-0.043345194
-0.045986958,0.25415635,0.0027812314,-0.3040789,0.32271567,0.08872338,-0.13378681,-1.1256963,0.12842971,-0.06682655,-0.016403329,0.0,0.00039361574,-1.5807058,0.0041038617,-0.3117338,-0.11345267,-0.2343224,-0.16357529,-0.043473996,-0.9225656,0.13028847,-0.9508926,-1.4709067,0.1014977,0.012337898,-0.49037042,-1.6023754,0.029199038,-0.025353428
-0.047464732,-0.4606267,0.006517897,-0.5136432,-0.3810236,0.08872338,-0.14174584,-1.1273718,0.19098257,0.022167321,-0.11691999,0.0,0.00039361574,-1.3565176,0.0041038617,0.3983138,0.06920652,-0.18252864,0.19454205,0.032895476,-0.73362017,-0.38801515,-0.9828168,-1.3120599,-0.4659268,-0.041229468,-0.56392837,-1.6343541,-0.42378318,-0.025353428
-0.0012375279,-0.30823284,-0.0025910926,0.14690323,-0.59545255,0.09255106,-0.16636029,-1.275659,0.1461237,0.022167321,-0.0040062508,0.0,0.00018338299,0.04805148,0.007344404,0.41555846,0.07014733,-0.18959793,0.30187678,0.012126565,0.41513985,-0.6957618,0.41426936,1.6637012,-0.5174498,-0.11756476,-0.6642104,-3.5479712,-0.409403,-0.04135412
-0.045986958,0.9090603,0.0027812314,-0.44569322,-0.14194022,0.08872338,-0.19670998,-1.2892472,0.12842971,0.01256028,-0.10308234,0.0,0.00039361574,-1.4387727,0.0041038617,0.3146728,0.06920652,-0.2343224,0.0071936026,0.006475363,-0.7321696,1.52837,-0.92467093,-1.4370854,-0.3111842,0.012337898,-0.46631643,-1.5604141,0.43166924,-0.025353428
-0.0035346982,0.3241282,-0.0013277456,0.14054516,-0.29937097,0.09463809,-0.137921,-1.4709017,0.1461237,0.022167321,-0.01527039,0.0,-0.00018339172,0.026402477,0.007344404,0.38966367,0.088091835,0.1773999,0.30187678,-0.011839077,0.46293813,0.16744946,-0.015040219,0.20670903,-0.5921868,-0.17738558,-0.72494286,-3.4657643,-0.42100433,-0.04135412
-0.047464732,-0.0698918,0.006517897,-0.3720289,-0.33050674,0.08872338,-0.10819322,-1.1035126,0.034044486,0.022167321,-0.016403329,0.0,0.00039361574,-1.4450017,0.0041038617,-0.34017348,-0.11345267,0.19362977,-0.16357529,0.07095228,-0.6699214,-0.61468434,-0.98627,-1.2589791,-0.48464617,0.012337898,-0.6262968,-1.6709121,-0.42378318,-0.025353428
-0.022862447,-0.5610755,-0.050388843,0.07839374,-0.37453303,0.103876315,-0.05442314,-1.2509915,0.19098257,0.022167321,-0.016403329,0.0,0.0010561532,-1.4928362,0.0041038617,0.402073,-0.11345267,-0.18252864,-0.26071078,0.035285585,-0.92839,-0.5373642,-0.4762894,-1.2945445,-0.4702831,-0.07195881,-0.5195515,-1.2270489,-0.42135957,-0.026736945
-0.0012375279,-0.5322947,-0.0025910926,0.14425868,-0.3575157,0.10617191,-0.16636029,-1.4040177,0.1461237,0.022167321,-0.01527039,0.0,-0.00018339172,0.081241,0.0063806437,0.45589596,0.088091835,0.1716359,0.30187678,0.029961504,0.37574744,-1.2921305,-0.48063272,0.03647415,-0.6316488,-0.06537837,-0.79923254,-3.3616114,-0.42231038,-0.0256559
-0.0021956926,-0.54476154,-0.0025910926,0.1399045,-0.4430231,0.10617191,-0.16636029,-1.2311525,0.1461237,0.022167321,-0.01527039,0.0,-0.00018339172,0.059718702,0.0063623386,0.45589596,0.07014733,-0.18959793,0.30187678,0.027265392,0.35484773,-1.6410325,0.52344203,0.4537114,-0.5868653,-0.05042716,-0.766866,-3.1238084,-0.42344365,-0.0256559
-0.04927314,-1.1181648,0.01336748,-0.695585,0.5300871,0.015978783,0.32902548,0.654395,-0.22481725,-0.06682655,-0.0034497303,0.0,-0.0010562035,-1.5845834,0.0063987738,-0.56228256,0.058610596,0.028895583,-0.16357529,-0.082457766,-1.0623509,-0.8796002,-1.0569838,-1.010989,0.09953997,0.011497745,1.5874282,0.39142516,-0.37429708,-0.025404386
-0.045986958,0.25671715,0.0027812314,-0.44569322,-0.29582813,0.08872338,-0.16315736,-1.2632778,0.092828356,0.022167321,-0.016403329,0.0,0.00039361574,-1.4282868,0.0041038617,0.39741772,-0.07379928,0.0038647167,0.19454205,0.006475363,-0.65909773,-0.57885355,-0.9949516,-1.228987,-0.44041276,-0.041229468,-0.63107884,-1.7887776,-0.42378318,-0.043345194
-0.047464732,-0.53979623,0.006517897,-0.5136432,-0.3244114,0.100257196,-0.14871714,-1.1371809,0.15193862,0.022167321,-0.11691999,0.0,0.00039361574,-1.2313138,-0.09891838,0.41393572,0.06920652,-0.18252864,0.19454205,0.03615675,-0.63053626,-0.6707394,-0.92209107,-1.1812645,0.63488626,-0.027601864,-0.5489243,-1.6165047,-0.42431462,-0.03946977
-0.10996275,-0.9129834,0.05446414,-0.57345057,0.39875087,0.19211757,-0.084017985,-1.0657631,0.12842971,-0.06682655,-0.015544457,0.0,0.0010561532,-1.1835178,0.0075416295,0.41584203,0.076339945,-0.18252864,0.19454205,-0.17136678,-1.2385894,-0.3074036,-0.5527593,-0.64994574,0.099205695,0.053082544,-0.60436237,0.23292713,0.030374262,0.04088215
-0.0012375279,-0.537062,-0.0025910926,0.14425868,-0.50322604,0.10617191,-0.16636029,-1.3191415,0.1461237,0.022167321,0.11622386,0.0,-0.00018339172,0.8495449,0.0063806437,0.4349278,0.088091835,-0.15486294,0.30187678,0.029961504,0.37574744,-1.3611331,-0.4732637,0.8777792,-0.59969974,-0.05042716,-0.7217218,-3.1159601,-0.41237977,-0.0256559
-0.04325635,-0.5454557,0.006517897,0.1399045,-0.3575157,0.100257196,-0.16221797,-1.2688019,0.1461237,0.022167321,-0.016403329,0.0,0.00039361574,0.040901456,0.005398579,0.40901178,0.088091835,0.17662954,0.30187678,0.012691729,-0.71863943,-1.1451252,-1.0145698,-0.71668273,-0.5728191,-0.03842194,-0.79239005,-2.043365,-0.4240479,-0.0256559
-0.047464732,-0.07870086,0.006517897,0.0771883,-0.32401618,0.08872338,-0.05416079,-0.9058219,-0.22481725,0.022167321,-0.016403329,0.0,0.00039361574,-1.2554727,0.0043979334,-0.49683595,-0.13156484,0.19362977,-0.26071078,0.071388066,-0.79833084,-0.8769404,-0.96996003,-1.111518,-0.502718,0.011497745,-0.58999187,-1.8021225,-0.38609958,-0.025353428
-0.047464732,-0.46212158,0.006517897,-0.36085585,-0.3810236,0.08872338,-0.14871714,-1.1161988,0.19098257,0.022167321,-0.016403329,0.0,0.00039361574,-1.2738991,0.0041038617,0.40901178,-0.07379928,0.01288278,-0.13442071,0.032895476,-0.6752261,-0.75667053,-0.98435366,-1.0615082,-0.48399857,-0.027601864,-0.5829821,-1.7578987,-0.42378318,-0.043345194
-0.047464732,-0.58862686,0.006517897,-0.36085585,-0.28405333,0.100257196,-0.14871714,-1.1125222,-0.2570421,-0.018224107,-0.11691999,0.0,0.00039361574,-1.3951435,0.0041038617,0.23272902,0.06920652,-0.18252864,-0.16357529,0.025349692,-0.6249678,-0.8155973,-0.89475006,-1.1040431,-0.502718,0.008259844,-0.58829576,-1.5752728,-0.0028750263,-0.026272275
-0.0041776877,0.8315872,-0.00183645,0.1614283,-0.07462272,0.22940019,0.15316205,0.8212897,0.12228043,0.01256028,-0.000867072,0.0,-0.00030258793,0.18828377,0.018739086,-0.13925067,-0.19273642,0.00023115426,0.30187678,0.09417136,0.46179497,1.5258878,0.6023885,0.678796,-0.5832231,0.035181187,-0.49749383,0.40838766,-0.38269803,0.017072413
-0.0041776877,0.52311635,-0.00183645,0.119154796,-0.087840065,0.22437635,0.15316205,0.7290106,0.1461237,0.01256028,0.027866354,0.0,-0.00030258793,1.2710191,0.018739086,0.385126,-0.08588292,0.13725258,-0.2315562,0.11838986,0.3793515,0.86740094,0.5289989,0.96001154,0.31410918,0.035181187,1.0321532,0.61805815,-0.39314705,0.017072413
-0.0041776877,0.46011212,-0.00183645,0.18225768,-0.082923196,0.08968727,0.15316205,0.7423041,0.15788178,0.01256028,0.004168245,0.0,-0.00030258793,1.3170255,0.018739086,-0.078009576,-0.08588292,-0.17005023,0.33375072,-0.06876035,0.3878122,1.0887235,0.6863377,0.92398053,0.31125897,0.035181187,0.967824,0.57180935,0.40032917,0.017072413
-0.045986958,0.9863104,0.0027812314,-0.44569322,-0.14194022,0.08872338,-0.21021082,-1.2892472,0.19098257,0.01256028,-0.0054377657,0.0,0.00039361574,-1.0698252,0.0043979334,0.3146728,0.06920652,-0.2343224,0.19454205,0.006475363,-0.80366695,1.5847908,-0.97121656,-1.447782,-0.38020924,-0.06800923,-0.47835132,-1.6645689,-0.38966894,-0.043345194
-0.0393311,-0.6142036,0.006517897,-0.33204103,-0.27756277,0.100257196,-0.10819322,-1.1078985,0.06964584,-0.018224107,-0.11691999,0.0,0.00039361574,-1.3627102,0.0036594265,-0.3489424,-0.11345267,0.17662954,-0.16357529,0.024665695,-0.6499809,-1.0102613,-0.8995271,-1.1552076,-0.43124387,0.008259844,-0.5912711,-1.5283798,0.02813476,-0.026272275
